;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
brunel;6.1692003e-21;0.00028944566;0.0018274619;1.8232449e-06;6.713039e-16;0.00016660686;4.5201086e-05;0.00014696016;6.271311e-07;1.4193828e-05;0.00010703414;4.373033e-05;0.00017923997;0.00016702242;0.000107679465;5.309855e-06
bark;1.7387351e-22;3.872149e-05;4.8957266e-16;5.3919766e-09;1.3535072e-16;5.564073e-12;1.8759935e-13;2.7764246e-20;3.2009176e-08;0.00020543262;3.8812984e-09;1.2518994e-23;1.6342715e-35;8.7630784e-20;3.1385482e-25;2.2863582e-09
gaia;3.0172236e-12;0.00030844155;1.3525286e-09;2.201653e-06;2.7728087e-15;3.0323977e-07;7.3499075e-07;5.653351e-16;3.0103754e-06;4.1899577e-05;5.3965623e-06;3.699231e-13;5.0335636e-13;1.6866502e-06;2.7057222e-17;2.8523484e-06
mcdowell;1.0223906e-16;0.00025652893;4.5303407e-11;6.216731e-07;2.928495e-16;1.0455926e-07;8.378945e-08;1.1830898e-19;4.0600247e-07;5.9306214e-05;5.843559e-07;1.4077689e-15;7.1007035e-15;9.906192e-07;1.3117395e-18;1.83847e-06
kilroy;8.498074e-14;1.1770668e-06;1.624825e-16;1.8359017e-07;5.621028e-26;1.8392192e-09;2.063476e-12;1.5515897e-23;5.992265e-07;0.00025294576;3.257833e-08;1.6861844e-22;2.6168632e-13;1.5243027e-09;4.2e-44;2.4902895e-09
conductor;4.0670787e-12;4.0568375e-05;1.8452456e-09;1.0887981e-05;8.98769e-11;1.0488725e-05;7.4048376e-06;6.21073e-13;3.8248843e-05;6.0177623e-05;7.959766e-06;2.3049635e-12;5.0040777e-10;6.866605e-07;1.1387824e-12;2.3466897e-05
cheese;6.599811e-11;4.245672e-05;2.0964144e-07;6.5128355e-05;5.350332e-10;1.9724868e-05;1.8969424e-05;3.674709e-12;8.0544625e-05;6.243846e-05;4.06523e-05;4.3556578e-10;2.0482036e-11;7.12739e-07;2.6332777e-13;6.3492094e-05
necessaryto;5.3048064e-15;7.3496417e-06;1.4461184e-18;1.061102e-06;7.115627e-11;6.983419e-08;1.1722692e-08;3.5676633e-29;5.8029633e-07;0.000115916;8.01506e-08;4.0410184e-12;1.3795459e-23;3.0920792e-15;7.510149e-30;2.0017799e-06
theyhave;9.7524926e-15;6.386439e-05;5.036879e-11;2.5353017e-06;1.2231528e-13;2.5960261e-07;6.168786e-08;1.432564e-14;7.73958e-07;6.5130844e-05;2.9454845e-06;3.3709164e-11;2.0088933e-12;8.048487e-09;2.076796e-15;4.1148232e-06
intrinsic;1.9139342e-10;4.8352034e-05;1.8358874e-08;3.8837403e-05;1.6040475e-11;2.5369175e-06;1.7841974e-05;2.8820015e-09;6.1391926e-05;4.3303888e-05;6.25049e-05;2.1125361e-09;3.6393403e-06;6.7399664e-09;7.4214154e-13;3.2601834e-05
coordination;8.826265e-12;1.5912567e-05;2.044712e-08;0.00018252771;1.1145096e-09;2.223998e-05;1.5460495e-05;1.7779895e-09;8.260675e-05;5.0043393e-05;1.2812576e-05;5.968484e-07;7.2983813e-10;6.9807866e-09;2.0114837e-15;3.7782254e-05
documentary;1.5233759e-11;3.1665135e-05;0.0010261461;0.00015965058;2.603259e-07;4.941921e-05;2.9803385e-05;8.191342e-11;8.653304e-05;5.1121377e-05;0.00021425812;1.853459e-07;1.815059e-06;1.59403e-07;4.737394e-12;0.0002267144
exploration;4.9568682e-12;2.4864254e-05;3.1551068e-08;5.4719134e-05;1.6216893e-08;1.7570721e-05;1.8228386e-05;5.0994683e-14;0.00013670554;3.885952e-05;1.2487825e-05;6.1967037e-12;1.638533e-11;3.1761e-08;7.161241e-13;3.4850404e-05
thatmatter;7.524376e-12;0.00026203194;3.10246e-05;1.321284e-05;3.5778417e-17;1.8355177e-06;2.8392003e-07;0.00022757032;5.2488767e-06;1.3455105e-05;2.9031602e-07;1.2884934e-17;3.3323253e-08;1.0712839e-07;7.2953525e-14;4.303198e-05
yesterday;8.815573e-10;2.963772e-05;1.8461542e-05;0.00015787264;1.1877523e-05;0.00030826533;3.488565e-05;2.0188354e-08;0.00013428675;6.300675e-05;0.00010194585;6.10598e-07;3.0961248e-05;2.6470028e-08;1.8799736e-06;0.000114518865
democratic;3.311916e-11;3.1763277e-05;5.9944107e-09;0.0001910209;1.2479599e-10;1.6840004e-05;7.051639e-05;1.5988713e-08;5.7729252e-05;4.5394572e-05;0.00015483603;6.398496e-08;1.722884e-06;5.096923e-07;9.158078e-12;0.00042314688
kingdom;3.364379e-11;1.9548204e-05;3.0039604e-07;0.00017763185;1.572275e-08;5.0462833e-05;1.3462166e-05;2.1779449e-12;6.450305e-05;4.850809e-05;0.00046259633;4.3291373e-10;3.7671692e-09;3.4242444e-08;1.7096056e-09;0.00044058738
monosodium;2.8365473e-14;0.00010283042;8.43208e-11;3.4694353e-06;2.6671704e-14;7.369837e-08;6.520689e-08;1.3114371e-17;5.050446e-07;6.1928906e-05;7.7591966e-07;1.5949208e-13;4.689632e-13;6.351555e-08;1.08801845e-17;2.3287027e-06
highway;1.5786364e-12;3.315349e-05;1.0286607e-06;0.00016924053;1.6344791e-09;3.2726213e-05;6.9978574e-05;4.6836276e-13;0.00022447991;4.74959e-05;2.847592e-05;4.5674202e-12;5.759321e-09;4.436575e-08;1.4067907e-12;0.0001923192
accomplishment;1.25139e-29;3.2622578e-05;1.801587e-12;8.903014e-08;8.892848e-18;1.02966835e-08;1.1502599e-12;1.649157e-33;3.9421576e-07;0.0003466682;8.66678e-09;3.8446656e-15;3.3986157e-33;3.9985853e-12;1.467046e-25;1.2430833e-07
tendency;5.849198e-10;3.0895688e-05;0.00020736184;8.89681e-05;3.8308386e-08;2.2504884e-05;2.3099648e-05;8.26648e-10;9.944449e-05;4.8206482e-05;0.0001840856;3.2198628e-09;2.0616772e-05;1.3168845e-08;1.4096193e-08;5.0287636e-05
suspicious;3.5249362e-12;5.4004755e-05;5.3784944e-08;5.1672032e-05;6.6478983e-10;1.5064046e-05;9.023619e-06;1.5568061e-09;3.2854856e-05;4.2151252e-05;2.5203617e-05;1.9478778e-10;5.2131014e-07;1.2784904e-08;6.001897e-14;3.6902333e-05
affiliate;0.0;2.534404e-06;4.1046622e-24;2.5756944e-10;1.6629537e-35;2.611636e-16;2.3079634e-18;0.0;1.3934318e-10;0.00047272962;1.1699632e-14;6.13e-42;7.656087e-35;1.1377345e-21;2.671571e-38;3.326796e-15
philly;6.9219733e-13;0.00024821097;6.65964e-09;7.6543165e-06;7.6002796e-14;3.131241e-05;1.2193032e-06;3.2442707e-14;1.12144135e-05;5.4875916e-05;2.3346822e-05;9.895276e-13;4.9161997e-10;0.000420645;1.4302163e-14;5.616704e-05
